tradition,attribute,dark_magic,name,area,target,duration,requirement,description,utility_or_attack,book,page_number,spell_level,image_path,source_pdf,pdf_page
Conjuration,Intellect,no,Conjure Large Monster,"A cube of space, 2 yards on a side, originating from a point within medium range and resting on a solid surface",,1 minute,,Either one compelled large monster or two compelled medium monsters appear in the area.,UTILITY,SHADOW,122,3,extracted_images/conjuration_conjure_large_monster_p16.png,SotDL - Spell Cards - Conjuration.pdf,16
Conjuration,Intellect,no,Conjure Wall,"A shapeable line, 10 yards long, 5 yards high, and 2 yards wide, originating from a point within long range with any orientation, provided at least two sides rest on solid surfaces",,1 hour; see the eff ect,,A wall made from stone fills the area and remains for the duration or until destroyed. The wall totally covers everything behind it. Each 1-yard cube of wall has Defense 5 and Health 50 and disappears when destroyed.,UTILITY,SHADOW,122,3,extracted_images/conjuration_conjure_wall_p18.png,SotDL - Spell Cards - Conjuration.pdf,18
Conjuration,Intellect,no,Conjure Shelter,"A cube of space, 20 yards on a side, originating from a point within long range and resting on a solid or liquid surface",,12 hours; see the eff ect,,"You must concentrate for 1 minute, during which time you visualize a building or island. At the end of this time, the building or island you visualized appears in the area and remains for the duration. If you conjure a building, you make all decisions about what it looks like, such as entrances, windows, and the number of rooms. It includes beds for up to ten people, chairs, tables, enough food and drink to sustain up to ten people, and a hearth complete with a burning fire. If you conjure an island, you provide accommodations for up to ten people as if you had created a building, but in the form of bungalows or huts. Sacrifi ce You can expend a casting of this spell to cast conjure large monster.",UTILITY,SHADOW,122,4,extracted_images/conjuration_conjure_shelter_p20.png,SotDL - Spell Cards - Conjuration.pdf,20
Conjuration,Intellect,no,Conjure Huge Monster,"A cube of space, 4 yards on a side, originating from a point within medium range and resting on a solid surface",,1 minute,,Either one compelled huge monster or two compelled large monsters appear in the area.,UTILITY,SHADOW,122,5,extracted_images/conjuration_conjure_huge_monster_p22.png,SotDL - Spell Cards - Conjuration.pdf,22
Curse,Intellect,yes,Hex,,One creature within short range that can see you,,,"Make an Intellect attack roll against the target's Will. On a success, the target becomes cursed for 1 minute or until it takes damage. While cursed, the target is impaired and you make attack rolls against it with 1 boon. Attack Roll 20+ The target also becomes dazed for 1 round.",ATTACK,SHADOW,122,0,extracted_images/curse_hex_p02.png,SotDL - Spell Cards - Curse.pdf,2
Curse,Intellect,yes,Pox,,One living creature within short range,,,"Make an Intellect attack roll against the target's Strength. On a success, the target's body erupts in green, weeping blisters. The target takes 1d3 damage from disease and becomes frightened for 1 round. Attack Roll 20+ The target becomes frightened for 1 minute.",ATTACK,SHADOW,122,0,extracted_images/curse_pox_p04.png,SotDL - Spell Cards - Curse.pdf,4
Curse,Intellect,yes,Frighten,,One creature within short range that can see you,,,"Make an Intellect attack roll against the target's Will. On a success, the target becomes frightened for 1 minute. While frightened this way, the target can use an action to make a Will challenge roll and removes this affl iction on a success. Attack Roll 20+ While frightened in this way, the target is also impaired.",ATTACK,SHADOW,122,1,extracted_images/curse_frighten_p06.png,SotDL - Spell Cards - Curse.pdf,6
Curse,Intellect,yes,Hobble,,One creature within short range,,,"Make an Intellect attack roll against the target's Strength. On a success, the target becomes slowed for 1 minute. Attack Roll 20+ The target also falls prone and cannot stand up while slowed in this way.",ATTACK,SHADOW,122,1,extracted_images/curse_hobble_p08.png,SotDL - Spell Cards - Curse.pdf,8
Curse,Intellect,yes,Pain,,One creature within short range,,,"Make an Intellect attack roll against the target's Strength. On a success, for 1 minute, whenever the target takes damage, it takes 1d6 extra damage. Attack Roll 20+ In addition, for 1 minute, whenever the target takes damage, it becomes dazed for 1 round.",ATTACK,SHADOW,122,1,extracted_images/curse_pain_p10.png,SotDL - Spell Cards - Curse.pdf,10
Curse,Intellect,yes,Vulnerability,,One creature within medium range,,,"Make an Intellect attack roll against the target's Strength. On a success, the target becomes cursed for 1 minute. While the target is cursed, attack rolls against it are made with 1 boon and it makes challenge rolls with 1 bane to resist attacks. Attack Roll 20+ The curse lasts until you die or until you lif it.",ATTACK,SHADOW,122,2,extracted_images/curse_vulnerability_p12.png,SotDL - Spell Cards - Curse.pdf,12
Curse,Intellect,yes,Weakness,,One creature within medium range,,,"Make an Intellect attack roll against the target's Strength. On a success, the target becomes cursed for 1 minute. While cursed, the target takes a –10 penalty to Health and makes Strength and Agility attack rolls and challenge rolls with 1 bane. Attack Roll 20+ The curse lasts until you die or until you lif it.",ATTACK,SHADOW,123,2,extracted_images/curse_weakness_p14.png,SotDL - Spell Cards - Curse.pdf,14
Curse,Intellect,yes,Dread,"A cone, 10 yards long, originating from a point you can reach",,,,"A wave of terror spreads through the area. Each creature in it must make a Will challenge roll, becoming frightened for 1 minute on a failure. While frightened in this way, the creature must take a fast turn each round, using an action to rush away from you by the safest available route. At the end of each round, if the creature does not have an unobstructed path to you and cannot see you, it can make a Will challenge roll and remove this affl iction on a success.",ATTACK,SHADOW,123,3,extracted_images/curse_dread_p16.png,SotDL - Spell Cards - Curse.pdf,16
Curse,Intellect,yes,Swine,,Up to three living creatures you can see within medium range,1 minute; see the eff ect,,"Each target must make a Strength challenge roll. On a failure, it is transformed into a pig (a small animal) for the duration, along with everything it wears and carries. While transformed in this way, it becomes frightened and must take a fast turn each round, using its action to rush away from you by the safest available route. The eff ect ends immediately when the target takes damage.",ATTACK,SHADOW,123,3,extracted_images/curse_swine_p18.png,SotDL - Spell Cards - Curse.pdf,18
Curse,Intellect,yes,Toad,,One living creature you can see within medium range,"Concentration, up to 1 minute; see the eff ect",,"Make an Intellect attack roll against the target's Strength, making the roll with 3 boons if the target has Health 40 or less. On a success, the target transforms into a harmless toad (a tiny animal) and remains in that form for as long as you concentrate, up to 1 minute. If your concentration is uninterrupted for the duration, the curse lasts until you die or until you use an action to lif it. The curse also ends if a virgin willingly kisses the target. Attack Roll 20+ The curse automatically lasts until you die or until you use an action to lif it while the creature is within medium range.",ATTACK,SHADOW,123,4,extracted_images/curse_toad_p20.png,SotDL - Spell Cards - Curse.pdf,20
Curse,Intellect,yes,Petrify,,One creature within medium range that has a physical body,,,"Make an Intellect attack roll against the target's Strength, making the attack roll with 3 boons if the target has Health 50 or less. On a success, the target takes 7d6 + 10 damage and becomes slowed for 1 minute. If the target becomes incapacitated by this damage, it instantly dies and turns into a stone statue. Attack Roll 20+ The target takes 3d6 extra damage.",ATTACK,SHADOW,123,5,extracted_images/curse_petrify_p22.png,SotDL - Spell Cards - Curse.pdf,22
Destruction,Will,no,Break,,One Size 1/2 or smaller object within short range,,,Take 1 damage. The target takes damage equal to its Health.,ATTACK,SHADOW,123,0,extracted_images/destruction_break_p02.png,SotDL - Spell Cards - Destruction.pdf,2
Destruction,Will,no,Ruin,,One creature or object within short range,,,"Take 1 damage. The target takes 1d6 damage; if it is a creature, it must make a Strength challenge roll, becoming fatigued for 1 minute on a failure.",ATTACK,SHADOW,123,0,extracted_images/destruction_ruin_p04.png,SotDL - Spell Cards - Destruction.pdf,4
Destruction,Will,no,Dissolve,,One creature with a physical body you can reach,,,"Take 2 damage. Make a Will attack roll against the target's Strength. On a success, the target takes 1d6 + 1 damage from your corrosive touch and becomes impaired for 1 minute. If the target becomes incapacitated by this damage, it dies instantly and dissolves into sludge, leaving anything it wore and carried on the ground in the space it occupied. Attack Roll 20+ The target takes 1d6 extra damage.",ATTACK,SHADOW,124,1,extracted_images/destruction_dissolve_p06.png,SotDL - Spell Cards - Destruction.pdf,6
Destruction,Will,no,Rend,,One creature you can see within short range,,,"Take 2 damage. Make a Will attack roll against the target's Agility. On a success, the target takes 3d6 + 1 damage. Attack Roll 20+ The target takes 2d6 extra damage.",ATTACK,SHADOW,124,1,extracted_images/destruction_rend_p08.png,SotDL - Spell Cards - Destruction.pdf,8
Destruction,Will,no,Sunder,,"One object made from glass, metal, or stone you can see within medium range",,,"Take 2 damage and the target takes 3d6 damage. If this damage destroys the target, it explodes in a 2-yard radius from a point within its space, dealing 1d6 damage to everything in the area from the flying debris. Each creature in the area that gets a success on an Agility challenge roll takes half the damage.",ATTACK,SHADOW,124,1,extracted_images/destruction_sunder_p10.png,SotDL - Spell Cards - Destruction.pdf,10
Destruction,Will,no,Entropic Power,,,1 minute,,"Take 3 damage. For the duration, creatures that take any damage from your attack spells take 1d6 extra damage. Triggered When you cast an attack spell that deals damage, you can use a triggered action to cast this spell, which ends at the end of the round. If the target takes damage from your spell, it takes 2d6 extra damage.",UTILITY,SHADOW,124,2,extracted_images/destruction_entropic_power_p12.png,SotDL - Spell Cards - Destruction.pdf,12
Destruction,Will,no,Erode,,One creature with a physical body you can see within short range,,,"Take 3 damage. Make a Will attack roll against the target's Agility. On a success, the target becomes impaired for 1 minute. At the end of each round while it is impaired in this way, the target takes 1d6 damage. Attack Roll 20+ The target takes 1d6 extra damage at the end of each round while it is impaired in this way.",ATTACK,SHADOW,124,2,extracted_images/destruction_erode_p14.png,SotDL - Spell Cards - Destruction.pdf,14
Destruction,Will,no,Detonate,,One Size 1 or smaller object that was never a creature that you can see within medium range,,,"Take 4 damage. The target takes damage equal to its Health and then explodes in a 4-yard radius from a point within its space, dealing 6d6 damage to everything in the area from the flying debris. Each creature in the area that gets a success on an Agility challenge roll takes half the damage.",ATTACK,SHADOW,124,3,extracted_images/destruction_detonate_p16.png,SotDL - Spell Cards - Destruction.pdf,16
Destruction,Will,no,Evaporate,,One creature with a physical body or one object you can reach,,,"Take 4 damage. Make a Will attack roll against the target's Agility. On a success, the target takes 6d6 damage as it begins to evaporate. An object destroyed by this damage evaporates into a fine mist. A creature incapacitated by this damage dies instantly and becomes a crimson cloud that partially obscures the space it occupied for 1 round. Attack Roll 20+ The target takes 2d6 extra damage.",ATTACK,SHADOW,124,3,extracted_images/destruction_evaporate_p18.png,SotDL - Spell Cards - Destruction.pdf,18
Destruction,Will,no,Destroy,,One Size 3 or smaller creature or object you can see within medium range,,,Take 5 damage. The target takes 30 damage.,ATTACK,SHADOW,124,4,extracted_images/destruction_destroy_p20.png,SotDL - Spell Cards - Destruction.pdf,20
Destruction,Will,no,Disintegrate,,One creature with a physical body or one object you can see within long range,,,"Take 6 damage. Make a Will attack roll against the target's Agility. On a success, the target takes 9d6 damage. A creature incapacitated by this damage dies immediately and is reduced to a small pile of dust in the space it occupied. Attack Roll 20+ The target takes 3d6 extra damage.",ATTACK,SHADOW,124,5,extracted_images/destruction_disintegrate_p22.png,SotDL - Spell Cards - Destruction.pdf,22
Divination,Intellect,no,Eavesdrop,,,"Concentration, up to 1 minute",,"Choose a point in space you can see within long range. For the duration, you hear as if you were at the chosen point.",UTILITY,SHADOW,124,0,extracted_images/divination_eavesdrop_p02.png,SotDL - Spell Cards - Divination.pdf,2
Divination,Intellect,no,Epiphany,,,,,Triggered You use a triggered action to cast this spell when you make a challenge roll or an attack roll. You roll the d20 twice and use the higher number on the die.,UTILITY,SHADOW,124,0,extracted_images/divination_epiphany_p04.png,SotDL - Spell Cards - Divination.pdf,4
Divination,Intellect,no,Augur,,,"Concentration, up to 1 minute","You must use implements of divination such as cards, dice, tea leaves, or notched sticks.","While you concentrate, you use your divination tools to gain an insight into the future. At the end of this time, ask the Game Master one question that can be answered “yes” or “no.” The GM must answer the question truthfully.",UTILITY,SHADOW,124,1,extracted_images/divination_augur_p06.png,SotDL - Spell Cards - Divination.pdf,6
Divination,Intellect,no,Foretell,,One creature you can see within short range,"Concentration, up to 1 minute",,"For the duration, whenever the target makes an attack roll or challenge roll and can hear you, it makes the roll with 3 boons.",UTILITY,SHADOW,124,1,extracted_images/divination_foretell_p08.png,SotDL - Spell Cards - Divination.pdf,8
Divination,Intellect,no,Psychometry,,One object you can reach,,,"You touch the target and learn 1d6 facts about it, such as the identity of its previous owner; whether or not the object is cursed, possessed, or magical; how a previous owner gained or lost the object; and where it was made.",UTILITY,SHADOW,124,1,extracted_images/divination_psychometry_p10.png,SotDL - Spell Cards - Divination.pdf,10
Divination,Intellect,no,Reading,,One creature you can reach,"Concentration, up to 1 minute",,"While you concentrate, you read the target's palm. At the end of the duration, you reveal hints about the target's future. The target gains six insights, which it retains for 1 hour or until it expends the last one. When it makes an attack roll or challenge roll, it can expend one insight to make the roll with 2 boons.",UTILITY,SHADOW,125,2,extracted_images/divination_reading_p12.png,SotDL - Spell Cards - Divination.pdf,12
Divination,Intellect,no,Truth Ear,,,1 hour,,"For the duration, you understand all spoken languages you hear and you recognize the truth when you hear it.",UTILITY,SHADOW,125,2,extracted_images/divination_truth_ear_p14.png,SotDL - Spell Cards - Divination.pdf,14
Divination,Intellect,no,See the Future,,,1 minute,,"For the duration, your movement does not trigger free attacks, you impose 2 banes on attack rolls made against you, and you make Agility challenge rolls with 2 boons to resist attacks and other harmful eff ects.",UTILITY,SHADOW,125,3,extracted_images/divination_see_the_future_p16.png,SotDL - Spell Cards - Divination.pdf,16
Divination,Intellect,no,Locate,,,1 hour; see the eff ect,,"You concentrate for 1 minute, during which time you visualize one creature or object. You can visualize a specifi c thing, such as the goblet from which the monarch last drank, or a general category, such as a trap. When you finish, for the duration you know the location of the creature or object you chose whenever you are within medium range of it. It cannot become hidden from you for the duration. This knowledge also reveals the path you need to take to reach the creature or object. If multiple subjects match the same description, you know the location of each.",UTILITY,SHADOW,125,3,extracted_images/divination_locate_p18.png,SotDL - Spell Cards - Divination.pdf,18
Divination,Intellect,no,Vision,,,1 hour; see the eff ect,,"For the duration, you enjoy the following benefi ts: • You see into areas obscured by shadows and darkness as if those areas were lit. • You see through anything that conceals, disguises, or renders things invisible. • You see auras around objects under the eff ects of magic and you automatically recognize anything created by an Illusion spell for what it is. • You see creatures under the eff ects of Transformation spells as they truly are. • You can use an action to focus your sight to see through solid obstacles as long as you concentrate. You can see through 1 yard of wood, 1 foot of stone, or 1 inch of metal.",UTILITY,SHADOW,125,4,extracted_images/divination_vision_p20.png,SotDL - Spell Cards - Divination.pdf,20
Divination,Intellect,no,Clairvoyance,,One crystal ball you can reach,"Concentration, up to 1 hour; see the eff ect",,"You touch the target and concentrate for 1 minute, during which time you visualize a place you have seen at least once, that fits inside a cube roughly 10 yards on each side, and that is within 1 mile of you. At the end of this time, the crystal ball fills with mist, then clears to reveal the place you visualized. The crystal ball shows the place to everyone that can see it for the duration.",UTILITY,SHADOW,125,5,extracted_images/divination_clairvoyance_p22.png,SotDL - Spell Cards - Divination.pdf,22
Earth,Will,no,Earth Spike,,One creature on the ground within short range,,,"A sharp spike erupts from the ground under the target. Make a Will attack roll against the target's Agility. On a success, the target takes 1d6 damage and falls prone. Attack Roll 20+ The target takes 1d6 extra damage.",ATTACK,SHADOW,125,0,extracted_images/earth_earth_spike_p02.png,SotDL - Spell Cards - Earth.pdf,2
Earth,Will,no,Shape Earth and Stone,,One Size 1 or smaller object made from earth or stone you can reach,Permanent,,"You can mold the target as if it were made from sof clay, af er which it returns to its normal hardness.",UTILITY,SHADOW,125,0,extracted_images/earth_shape_earth_and_stone_p04.png,SotDL - Spell Cards - Earth.pdf,4
Earth,Will,no,Stone Armor,,,"Concentration, up to 1 minute",,"Rock spreads to cover you until you are fully encased. For the duration, attack rolls against your Defense, Strength, or Agility are made with 1 bane and you take half damage from weapons. When the eff ect ends, the rock encasing you explodes in a 1-yard-radius sphere centered on a point you can reach, dealing 1d6 damage per round you concentrated on the spell to everything in the area other than you. Each other creature in the area must make an Agility challenge roll, taking half the damage on a success.",UTILITY,SHADOW,126,1,extracted_images/earth_stone_armor_p06.png,SotDL - Spell Cards - Earth.pdf,6
Earth,Will,no,Stone Blades,"A cone, 3 yards long, originating from a point you can reach",,,,"You fling shards of stone that deal 2d6 damage to everything in the area. Each creature in the area must make an Agility challenge roll, taking half the damage on a success. On a failure, the creature suff ers a bleeding wound and takes 1d6 damage at the end of each round until it heals any damage or until it or another creature uses an action to stanch the bleeding.",ATTACK,SHADOW,126,1,extracted_images/earth_stone_blades_p08.png,SotDL - Spell Cards - Earth.pdf,8
Earth,Will,no,Tremor,A circle on the ground with a radius of 4 yards centered on a point you can reach,,1 round,,"The ground shakes and heaves. Any creature other than you standing on the ground in the area or that moves onto it must make an Agility challenge roll. On a failure, it falls prone and cannot stand up for the duration.",ATTACK,SHADOW,126,1,extracted_images/earth_tremor_p10.png,SotDL - Spell Cards - Earth.pdf,10
Earth,Will,no,Avalanche,"A circle on the ground with a radius of 2 yards centered on a point you can reach and a cone, 5 yards long, originating from a point you can reach",,,,You raise the top layer of the ground in the circle and hurl it into the cone. The ground in both areas becomes diffi cult terrain until the rubble is cleared away. Everything in the cone takes 4d6 damage. Each creature in the area takes half the damage with a success on an Agility challenge roll.,ATTACK,SHADOW,126,2,extracted_images/earth_avalanche_p12.png,SotDL - Spell Cards - Earth.pdf,12
Earth,Will,no,Mold Earth and Stone,"A cube of earth or stone, 4 yards on a side, originating from a point you can reach",,Permanent; see the eff ect,,"When you cast the spell, you must concentrate and maintain contact with the area for 1 minute. At the end of this time, you reshape the earth and stone in the area as if it were made from sof clay. The material then returns to its normal hardness. You might cast this spell to create openings in rock walls, seal doors shut, form weapons of stone, or clear passages of rubble.",UTILITY,SHADOW,126,2,extracted_images/earth_mold_earth_and_stone_p14.png,SotDL - Spell Cards - Earth.pdf,14
Earth,Will,no,Eruption,"A cylinder, 10 yards tall with a radius of 2 yards, centered on a point on the ground within medium range",,,,"The ground erupts, throwing rubble into the air that rains down and deals 5d6 damage to everything in the area. Creatures and objects in the area are also moved 1d6 yards away from the origin point. Each creature in the area must make a Strength challenge roll. It falls prone on a failure, or just takes half the damage on a success. Af erward, the ground within 5 yards of the origin point is filled with rubble, becoming diffi cult terrain until cleared.",ATTACK,SHADOW,126,3,extracted_images/earth_eruption_p16.png,SotDL - Spell Cards - Earth.pdf,16
Earth,Will,no,Nail to the Ground,"A cube, 10 yards on a side, originating from a point within long range",,1 minute,,"Gravity suddenly intensifi es in the area, which becomes diffi cult terrain for the duration. Each creature in the area or that enters the area must make a Strength challenge roll with 1 bane; on a failure, it falls prone and becomes immobilized for the duration. While immobilized in this way, the creature cannot stand up. If it is flying, it falls and takes double damage from landing.",ATTACK,SHADOW,126,3,extracted_images/earth_nail_to_the_ground_p18.png,SotDL - Spell Cards - Earth.pdf,18
Earth,Will,no,Earthquake,A circle on the ground with a radius of 20 yards centered on a point within long range,,1 minute,,"The ground shakes and heaves violently in the area, which becomes diffi cult terrain for the duration. When you cast the spell and at the end of each round for the duration, each creature standing in the area must make an Agility challenge roll. On a failure, it takes 1d6 damage and falls prone. In addition, when you cast the spell and at the end of each round for the duration, any structure in contact with the area takes 2d6 damage. A structure destroyed by this damage collapses, and everything inside or under it takes 4d6 + 10 damage. Creatures on top of the structure might take falling damage when it collapses.",ATTACK,SHADOW,126,4,extracted_images/earth_earthquake_p20.png,SotDL - Spell Cards - Earth.pdf,20
Earth,Will,no,Bind Earth Genie,,"A cube of earth or stone, 2 yards on a side, originating from a point within long range",1 minute,,"At the end of the round in which you cast this spell, the target becomes a Size 2 earth genie. You cannot voluntarily end this spell. When the eff ect ends, the genie crumbles, turning the ground in its space into diffi cult terrain. When the genie appears, make a Will attack roll against its Will. The genie becomes compelled for the duration on a success, or becomes hostile to you on a failure.",UTILITY,SHADOW,126,5,extracted_images/earth_bind_earth_genie_p22.png,SotDL - Spell Cards - Earth.pdf,22
Enchantment,Intellect,no,Bewitch,,One creature that can see you within long range,,,"Make an Intellect attack roll against the target's Intellect. On a success, the target is moved up to its Speed. Attack Roll 20+ You regain the casting of this spell.",ATTACK,SHADOW,126,0,extracted_images/enchantment_bewitch_p02.png,SotDL - Spell Cards - Enchantment.pdf,2
Enchantment,Intellect,no,Presence,,,1 minute,,"For the duration, creatures that are ordinarily attracted to members of your kind make attack rolls against you with 1 bane.",UTILITY,SHADOW,127,0,extracted_images/enchantment_presence_p04.png,SotDL - Spell Cards - Enchantment.pdf,4
Enchantment,Intellect,no,Charm,,One creature within short range that can see you,,,"Make an Intellect attack roll against the target's Will. If you or members of your group attacked the target since you last completed a rest, you make the attack roll with 1 bane. On a success, the target becomes charmed for 1 hour or until it takes any damage. Attack Roll 20+ The target instead becomes charmed for 1d6 hours or until it takes any damage.",ATTACK,SHADOW,127,1,extracted_images/enchantment_charm_p06.png,SotDL - Spell Cards - Enchantment.pdf,6
Enchantment,Intellect,no,Command,,One creature within short range that can hear you,,,"Make an Intellect attack roll against the target's Will. If the target is charmed, you make the attack roll with 1 boon. On a success, the target becomes compelled for 1 round. Attack Roll 20+ You regain the casting of this spell.",ATTACK,SHADOW,127,1,extracted_images/enchantment_command_p08.png,SotDL - Spell Cards - Enchantment.pdf,8
Enchantment,Intellect,no,Question,,"One creature within short range that can see, hear, and understand you",,,"You ask the target a question and make an Intellect attack roll against its Will. On a success, the target must answer you truthfully and to the best of its knowledge. Attack Roll 20+ The target becomes frightened for 1 round.",ATTACK,SHADOW,127,1,extracted_images/enchantment_question_p10.png,SotDL - Spell Cards - Enchantment.pdf,10
Enchantment,Intellect,no,Compell,,One creature within medium range that can see you,,,"Make an Intellect attack roll against the target's Will. If you or members of your group attacked the target since you last completed a rest, you make the attack roll with 1 bane. On a success, the target becomes compelled for 1 minute or until it takes any damage. Attack Roll 20+ The target instead becomes compelled for 1 hour or until it takes any damage.",ATTACK,SHADOW,127,2,extracted_images/enchantment_compell_p12.png,SotDL - Spell Cards - Enchantment.pdf,12
Enchantment,Intellect,no,Mind Bondage,,One creature within medium range that can see and hear you,,,"Make an Intellect attack roll against the target's Will. If you or members of your group attacked the target since you last completed a rest, you make the attack roll with 1 bane. On a success, the target becomes dazed for 1 minute or until it takes any damage. While the target is dazed in this way, you make attack rolls with 1 boon to interact socially with it. Attack Roll 20+ The target becomes stunned while it is dazed in this way.",ATTACK,SHADOW,127,2,extracted_images/enchantment_mind_bondage_p14.png,SotDL - Spell Cards - Enchantment.pdf,14
Enchantment,Intellect,no,Cower,,One creature within medium range,,,"Make an Intellect attack roll against the target's Will. On a success, the target becomes immobilized for 1 minute; while immobilized in this way, it is also frightened. Once per round when the target takes damage, it can make a Will challenge roll, removing this immobilized affl iction on a success. Attack Roll 20+ The target also falls prone and cannot stand up while immobilized in this way.",ATTACK,SHADOW,127,3,extracted_images/enchantment_cower_p16.png,SotDL - Spell Cards - Enchantment.pdf,16
Enchantment,Intellect,no,Implant Suggestion,,One creature within short range that can see and hear you,"Concentration, up to 1 minute; see the eff ect",,"Make an Intellect attack roll against the target's Will. On a success, the target becomes stunned for the duration or until it takes any damage. If you concentrate for the full minute, describe a course of activity that is obviously not suicidal and that can be summarized in a sentence or two. Then describe what triggers the activity, such as reaching a specifi c destination or hearing a word or phrase. If the suggested activity would be potentially harmful to the target's self, loved ones, or property, the target can make a Will challenge roll and is not aff ected on a success. Otherwise, it must perform the described activity if the trigger occurs at any time within the next 8 hours. Once the target has completed the activity, the eff ect ends.",ATTACK,SHADOW,127,3,extracted_images/enchantment_implant_suggestion_p18.png,SotDL - Spell Cards - Enchantment.pdf,18
Enchantment,Intellect,no,Allure,,Any number of creatures within short range,,,"Each target must make a Will challenge roll with 1 bane. On a failure, it becomes charmed until you attack it or until you complete a rest. While charmed in this way, the creature becomes impaired if it is beyond short range of you.",ATTACK,SHADOW,127,4,extracted_images/enchantment_allure_p20.png,SotDL - Spell Cards - Enchantment.pdf,20
Enchantment,Intellect,no,Enslave,,One creature within medium range,,,"Make an Intellect attack roll against the target's Will. If youor members of your group attacked the target since you last completed a rest, you make the attack roll with 1 bane. On a success, the target becomes charmed. The target does not age while charmed in this way. When it takes damage, it can make a Will challenge roll, removing the affl iction on a success. While you are within long range of the target while itis charmed in this way, you can use an action to make an Intellect attack roll against its Will. On a success, the targetbecomes compelled for 1 minute. Attack Roll 20+ If the total of the initial attack roll was 20 or higher and exceeds the target number by 5, you make the secondary Will attack rolls against the charmed target with 2 boons.",ATTACK,SHADOW,127,5,extracted_images/enchantment_enslave_p22.png,SotDL - Spell Cards - Enchantment.pdf,22
Fire,Will,no,Control Flame,,One Size 1 or smaller flammable object within short range,,,The target catches fire or you extinguish the flame if it's already burning.,UTILITY,SHADOW,127,0,extracted_images/fire_control_flame_p02.png,SotDL - Spell Cards - Fire.pdf,2
Fire,Will,no,Flame Missile,,One creature or object within long range,,,"You loose a fiery missile at the target. Make a Will attack roll against the target's Agility. On a success, the target takes 1d6 damage. Attack Roll 20+ The target takes 1d6 extra damage.",ATTACK,SHADOW,128,0,extracted_images/fire_flame_missile_p04.png,SotDL - Spell Cards - Fire.pdf,4
Fire,Will,no,Fire Blast,"A cone, 3 yards long, originating from a point you can reach",,,,"Flames rush out from your hand, dealing 3d6 damage to everything in the area. Each creature in the area takes half the damage with a success on an Agility challenge roll.",ATTACK,SHADOW,128,1,extracted_images/fire_fire_blast_p06.png,SotDL - Spell Cards - Fire.pdf,6
Fire,Will,no,Meteor,,A point in space within medium range,,,"You hurl a fiery stone. When it reaches the target, or if it encounters a solid creature or object before then, it explodes. Flames spread through a 1-yard- radius sphere centered on the target or on a point in the creature's or object's space, dealing 2d6 + 2 damage to everything in the area. Each creature in the area takes half the damage with a success on an Agility challenge roll.",ATTACK,SHADOW,128,1,extracted_images/fire_meteor_p08.png,SotDL - Spell Cards - Fire.pdf,8
Fire,Will,no,Flame Ward,,One creature you can reach,1 hour,,"You touch the target. For the duration, it takes half damage from fire.",UTILITY,SHADOW,128,1,extracted_images/fire_flame_ward_p10.png,SotDL - Spell Cards - Fire.pdf,10
Fire,Will,no,Fiery Volley,,Up to three creatures or objects within medium range,,,"You loose three fiery missiles, divided as you choose among the targets. For each missile, make a Will attack roll against the target's Agility. On a success, the target takes 1d6 + 1 damage. Attack Roll 20+ The target takes 1d3 extra damage.",ATTACK,SHADOW,128,2,extracted_images/fire_fiery_volley_p12.png,SotDL - Spell Cards - Fire.pdf,12
Fire,Will,no,Flaming Shroud,,,1 minute,,"Flames envelop you for the duration, shedding bright light in a 10-yard radius around you. The flames are warm but do not harm you or anything you wear or carry. For the duration, you take half damage from cold and you cannot become fatigued from exposure to cold temperatures. As well, when a creature touches you or gets a success on an attack roll against you using a melee weapon, it takes 1d6 damage from fire.",UTILITY,SHADOW,128,2,extracted_images/fire_flaming_shroud_p14.png,SotDL - Spell Cards - Fire.pdf,14
Fire,Will,no,Fireball,,A point in space within long range,,,"You fling a globe of fire. When it reaches the target, or if it encounters a solid creature or object before then, it explodes. Flames spread through a 5-yard-radius sphere centered on the target or on a point in the creature's or object's space, dealing 5d6 damage to everything in the area. Each creature in the area takes half the damage with a success on an Agility challenge roll.",ATTACK,SHADOW,128,3,extracted_images/fire_fireball_p16.png,SotDL - Spell Cards - Fire.pdf,16
Fire,Will,no,Immolate,,One creature or object within medium range,,,"The target smolders and threatens to burst into flames. Make a Will attack roll against its Agility. On a success, the target takes 4d6 damage and catches fire. Attack Roll 20+ The target takes 2d6 extra damage.",ATTACK,SHADOW,128,3,extracted_images/fire_immolate_p18.png,SotDL - Spell Cards - Fire.pdf,18
Fire,Will,no,Wall of Flames,"A shapeable line 10 yards long, 5 yards tall, and 1 yard wide originating from a point within long range",,1 minute,,"Flames fill the area for the duration, partially obscuring everything in and behind it. Creatures or objects in the area when you cast the spell or that enter it take 3d6 damage. At the end of each round for the duration, each creature and flammable object in the area takes 3d6 damage, and each within short range of the area's edge takes 1d6 damage unless it gets a success on a Strength challenge roll.",ATTACK,SHADOW,128,4,extracted_images/fire_wall_of_flames_p20.png,SotDL - Spell Cards - Fire.pdf,20
Fire,Will,no,Bind Flame Genie,,"A cube of fire, 2 yards on a side, originating from a point within long range",1 minute,,"At the end of the round in which you cast this spell, the target becomes a Size 2 flame genie. You cannot voluntarily end this spell. When the genie appears, make a Will attack roll against its Will. The genie becomes compelled for the duration on a success, or becomes hostile to you on a failure.",UTILITY,SHADOW,128,5,extracted_images/fire_bind_flame_genie_p22.png,SotDL - Spell Cards - Fire.pdf,22
